TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
KLF16,K562,KLF16_K562,0.270610435361669,3158,2253,1
ISX,HepG2,ISX_HepG2,0.265553294762172,114,21,0.999999671871958
YY1,K562,YY1_K562,0.259611813882205,1534,1141,1
TFE3,HepG2,TFE3_HepG2,0.259602898168591,2415,455,1
REST,K562,REST_K562,0.258571106087961,9576,7143,1
MYC,HepG2,MYC_HepG2,0.257437651046084,9647,1832,1
NR2C2,HeLa-S3,NR2C2_HeLa-S3,0.247499200930293,2892,84,1
ZNF148,K562,ZNF148_K562,0.246920586215745,20615,16074,1
MYC,HeLa-S3,MYC_HeLa-S3,0.245039519278875,7602,223,1
EGR1,K562,EGR1_K562,0.24005064953791,30734,24607,1
ATF6,HepG2,ATF6_HepG2,0.239473955882298,328,67,1
KLF13,K562,KLF13_K562,0.239375802569516,1376,1110,1
CTCF,MCF-7,CTCF_MCF-7,0.238891710869612,263245,9048,1
ETV5,K562,ETV5_K562,0.232503317392402,2117,1758,1
TEAD2,HepG2,TEAD2_HepG2,0.226626804378784,366,79,1
ZBED1,K562,ZBED1_K562,0.224238015134471,137,118,1
MLX,HepG2,MLX_HepG2,0.218631722139836,2168,485,1
CTCF,HepG2,CTCF_HepG2,0.213614112263904,86328,19633,1
THAP11,HepG2,THAP11_HepG2,0.210950110232065,13184,3054,1
RFX1,HepG2,RFX1_HepG2,0.208307090521002,4149,974,1
CTCF,HeLa-S3,CTCF_HeLa-S3,0.206901655906313,243722,8417,1
REST,MCF-7,REST_MCF-7,0.20630654223514,14883,596,1
JUN,MCF-7,JUN_MCF-7,0.206240417338848,3893,156,1
NFKB2,HepG2,NFKB2_HepG2,0.205222511514958,3609,860,1
ZBTB7B,MCF-7,ZBTB7B_MCF-7,0.204671610295581,2204,89,1
ZNF143,HepG2,ZNF143_HepG2,0.202518161335185,4361,1053,1
ZNF740,HepG2,ZNF740_HepG2,0.201088846471459,22476,5457,1
PRDM4,HepG2,PRDM4_HepG2,0.20056113753649,164,40,0.999999999999997
ELK3,K562,ELK3_K562,0.193143588337261,9,9,0.999847583885645
ZBTB7A,HepG2,ZBTB7A_HepG2,0.18931472461332,2067,534,1
MNT,MCF-7,MNT_MCF-7,0.188704970942038,15853,694,1
CTCF,K562,CTCF_K562,0.187301847360067,34378,35184,1
ZBTB7A,K562,ZBTB7A_K562,0.186634355765268,2418,2501,1
RFX3,HepG2,RFX3_HepG2,0.183432015274682,4239,1130,1
E2F1,HeLa-S3,E2F1_HeLa-S3,0.181586582515066,1945,77,1
ZBTB33,K562,ZBTB33_K562,0.181149981425331,1168,1245,1
SREBF2,HeLa-S3,SREBF2_HeLa-S3,0.174136930703832,218,9,0.999993094563948
CREM,HepG2,CREM_HepG2,0.173601884264806,5582,1572,1
ATF6,K562,ATF6_K562,0.17315809375097,130,145,1
TCF3,HepG2,TCF3_HepG2,0.171368758317024,988,282,1
XBP1,HepG2,XBP1_HepG2,0.169326809578253,270,78,1
NFYA,HeLa-S3,NFYA_HeLa-S3,0.168517750595701,5275,225,1
MAZ,K562,MAZ_K562,0.168492442794604,18383,20976,1
NFYC,HepG2,NFYC_HepG2,0.166983996048223,5711,1672,1
HINFP,K562,HINFP_K562,0.165591401981379,415,484,1
TFDP1,K562,TFDP1_K562,0.162196570749307,2690,3201,1
KLF4,MCF-7,KLF4_MCF-7,0.160296025715901,38869,2001,1
E2F6,K562,E2F6_K562,0.159780868575227,6624,7993,1
SPDEF,MCF-7,SPDEF_MCF-7,0.146634303042995,5714,322,1
ELF1,MCF-7,ELF1_MCF-7,0.146437659082009,36185,2039,1
GABPA,HeLa-S3,GABPA_HeLa-S3,0.14629168899888,7348,361,1
KLF13,HepG2,KLF13_HepG2,0.145249036436335,977,329,1
MSX2,MCF-7,MSX2_MCF-7,0.145232083940434,492,28,0.999999999999998
E2F1,K562,E2F1_K562,0.143798487912054,627,842,1
EGR1,HepG2,EGR1_HepG2,0.142271234640698,49277,16834,1
ETV5,HepG2,ETV5_HepG2,0.141979083009591,5318,1831,1
NFYB,HeLa-S3,NFYB_HeLa-S3,0.141056407072944,9284,473,1
KLF16,HepG2,KLF16_HepG2,0.140785787194699,16851,5842,1
OVOL1,MCF-7,OVOL1_MCF-7,0.134551915520247,3696,227,1
TCFL5,K562,TCFL5_K562,0.128761842176429,18,27,0.999999999995557
KLF9,HepG2,KLF9_HepG2,0.127190023311237,7137,2742,1
RFX5,MCF-7,RFX5_MCF-7,0.124464474962527,5272,350,1
ERF,HepG2,ERF_HepG2,0.12403053969471,2369,934,1
ELF2,K562,ELF2_K562,0.123252984751017,826,1294,1
RFX5,K562,RFX5_K562,0.118604608089545,148,241,1
NFYA,HepG2,NFYA_HepG2,0.117660335976025,3899,1620,1
HES1,MCF-7,HES1_MCF-7,0.116078951535526,632,45,1
NRF1,K562,NRF1_K562,0.115874804383368,7328,12180,1
MYC,MCF-7,MYC_MCF-7,0.114251447423561,25030,1808,1
MAZ,HepG2,MAZ_HepG2,0.113035856938345,28932,12459,1
ETS1,K562,ETS1_K562,0.110728290961686,535,933,1
MAX,MCF-7,MAX_MCF-7,0.109066852464433,12123,918,1
CREB3,HepG2,CREB3_HepG2,0.108816666938938,505,227,1
E2F1,MCF-7,E2F1_MCF-7,0.108272267933819,5897,450,1
KLF6,HepG2,KLF6_HepG2,0.106253262269958,5527,2542,1
