TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
TEAD4,K562,TEAD4_K562,0.812998267893879,2791,188,0.996704631549352
ZNF460,HepG2,ZNF460_HepG2,0.809313022344077,38113,696,0.999999960511955
ZNF24,HepG2,ZNF24_HepG2,0.807991376678381,6995,128,0.99115615870333
MAFK,MCF-7,MAFK_MCF-7,0.800739701272799,7105,46,0.939649650900193
MGA,K562,MGA_K562,0.796867718149525,2139,147,0.995788330746048
SREBF1,MCF-7,SREBF1_MCF-7,0.792334228251691,5502,36,0.927431451128266
NFE2L1,K562,NFE2L1_K562,0.7768327629902,1915,135,0.997405808471047
NFIC,K562,NFIC_K562,0.746127255282808,2507,184,0.999904001211975
TCF7L2,HeLa-S3,TCF7L2_HeLa-S3,0.744943106124017,19431,65,0.990537981595447
ZNF384,K562,ZNF384_K562,0.742541457574281,54385,4002,1
ZNF24,MCF-7,ZNF24_MCF-7,0.736261911114203,12641,89,0.997559496658302
SREBF1,K562,SREBF1_K562,0.726095414779497,411,31,0.961610139914331
MAFK,HepG2,MAFK_HepG2,0.722133193531422,10258,210,0.999996371652257
NR2C2,HeLa-S3,NR2C2_HeLa-S3,0.714020875067607,4011,14,0.916466752855173
PITX1,HepG2,PITX1_HepG2,0.6978280471989,3823,81,0.999061027418507
NFE2,HepG2,NFE2_HepG2,0.694454568258421,1409,30,0.977133288667311
MAFK,HeLa-S3,MAFK_HeLa-S3,0.69274226884775,23353,84,0.999409876247024
REST,HepG2,REST_HepG2,0.680235544695422,4923,107,0.999922553831081
MITF,K562,MITF_K562,0.67899155471257,10619,856,1
NFIX,K562,NFIX_K562,0.677118364906155,136,11,0.918322409286603
CREB3,K562,CREB3_K562,0.652962487792247,775,65,0.99931476419991
RELA,K562,RELA_K562,0.639676052931646,841,72,0.999772615524436
PKNOX1,MCF-7,PKNOX1_MCF-7,0.624740565988687,18444,153,0.99999997286967
MYBL2,K562,MYBL2_K562,0.618081401008215,158,14,0.964855302975094
RBPJ,HepG2,RBPJ_HepG2,0.614752917168742,6196,149,0.99999998156983
MXI1,K562,MXI1_K562,0.613568626494388,605,54,0.999543221628352
ZNF384,HepG2,ZNF384_HepG2,0.598831491703064,88373,2175,1
IRF5,HepG2,IRF5_HepG2,0.596174106112009,1008,25,0.993922068328702
ZNF263,K562,ZNF263_K562,0.593077879011987,3618,334,1
NFE2L2,HepG2,NFE2L2_HepG2,0.590439989076336,2436,61,0.999939571415084
ZNF282,K562,ZNF282_K562,0.58974601138745,1120,104,0.999999430490285
JUN,MCF-7,JUN_MCF-7,0.578254854426852,2677,24,0.995376740429634
OVOL1,MCF-7,OVOL1_MCF-7,0.573448867804502,2876,26,0.996859808303889
HES1,K562,HES1_K562,0.571897271625972,919,88,0.999998831032315
ETV6,K562,ETV6_K562,0.570280483414997,1333,128,0.999999993664961
E2F1,HeLa-S3,E2F1_HeLa-S3,0.570126239219042,5033,22,0.99484112559902
RFX1,K562,RFX1_K562,0.566878338024641,4463,431,1
TEAD1,K562,TEAD1_K562,0.5647657451923,1382,134,0.999999998285704
ZBTB7B,MCF-7,ZBTB7B_MCF-7,0.561919063089742,3577,33,0.999159613519659
NFIB,MCF-7,NFIB_MCF-7,0.557886433777443,64253,596,1
HSF2,HepG2,HSF2_HepG2,0.548728924467915,3526,95,0.999999955188144
SMAD3,K562,SMAD3_K562,0.547663636218698,180,18,0.992295025849914
