TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
KLF9,HepG2,KLF9_HepG2,0.127493073654011,7171,2742,1
RFX5,MCF-7,RFX5_MCF-7,0.126278743838151,5362,350,1
ELF2,K562,ELF2_K562,0.124481271218993,837,1294,1
ERF,HepG2,ERF_HepG2,0.124206639656744,2378,934,1
RFX5,K562,RFX5_K562,0.118212262510478,148,241,1
NFYA,HepG2,NFYA_HepG2,0.117531959025974,3904,1620,1
HES1,MCF-7,HES1_MCF-7,0.115794155839882,632,45,1
NRF1,K562,NRF1_K562,0.115570180446356,7333,12180,1
MYC,MCF-7,MYC_MCF-7,0.114472052565273,25140,1808,1
MAZ,HepG2,MAZ_HepG2,0.113040766118573,29002,12459,1
ETS1,K562,ETS1_K562,0.112218601142222,544,933,1
ZBTB33,MCF-7,ZBTB33_MCF-7,0.110520334706194,563,42,1
MAX,MCF-7,MAX_MCF-7,0.109203132823276,12168,918,1
CREB3,HepG2,CREB3_HepG2,0.108558732847269,505,227,1
E2F1,MCF-7,E2F1_MCF-7,0.108336309357638,5915,450,1
KLF6,HepG2,KLF6_HepG2,0.106193188204666,5537,2542,1
KLF11,HepG2,KLF11_HepG2,0.102687885713586,3451,1639,1
RFX5,HepG2,RFX5_HepG2,0.102090768819771,1515,724,1
HINFP,HepG2,HINFP_HepG2,0.10189292481484,2561,1226,1
GABPA,MCF-7,GABPA_MCF-7,0.0983197834284919,14396,1206,1
NR3C1,HepG2,NR3C1_HepG2,0.0976035652137154,32,16,0.999999999976243
E2F8,MCF-7,E2F8_MCF-7,0.0970660690003986,259,22,1
MAZ,HeLa-S3,MAZ_HeLa-S3,0.0956270543294588,17090,1280,1
NFYB,HepG2,NFYB_HepG2,0.094352803809725,4571,2362,1
CTCFL,K562,CTCFL_K562,0.0907173669188853,2019,4280,1
EGR1,MCF-7,EGR1_MCF-7,0.0874372032848407,19810,1865,1
THAP1,K562,THAP1_K562,0.0866847296195396,136,302,1
ZNF143,HeLa-S3,ZNF143_HeLa-S3,0.0814252974616379,3067,270,1
ZBTB33,HepG2,ZBTB33_HepG2,0.0802237067155787,2571,1563,1
KLF9,MCF-7,KLF9_MCF-7,0.0738013877637164,76542,8487,1
ETV6,HepG2,ETV6_HepG2,0.0732653011180646,910,606,1
ETS1,HepG2,ETS1_HepG2,0.0716055893602116,976,665,1
YY1,HepG2,YY1_HepG2,0.068334994508211,1562,1115,1
LBX2,HepG2,LBX2_HepG2,0.0677801827539277,25,18,0.999999999999987
GMEB2,HepG2,GMEB2_HepG2,0.0650688925368467,28,21,1
ELF4,HepG2,ELF4_HepG2,0.0638690892245752,1756,1341,1
ELK1,K562,ELK1_K562,0.0634623848692533,306,928,1
ZBTB14,HepG2,ZBTB14_HepG2,0.0631002080940241,5130,3961,1
E2F4,HepG2,E2F4_HepG2,0.0604800878939872,807,651,1
TFDP1,HepG2,TFDP1_HepG2,0.060299803005393,2883,2331,1
E2F6,HeLa-S3,E2F6_HeLa-S3,0.0602816656099865,8137,967,1
SP1,K562,SP1_K562,0.0602128619013057,4011,12783,1
E2F2,HepG2,E2F2_HepG2,0.0538212036197673,225,204,1
ELK4,HeLa-S3,ELK4_HeLa-S3,0.0500364215139608,4944,708,1
SP2,K562,SP2_K562,0.0494382004099825,518,2016,1
IRF3,HepG2,IRF3_HepG2,0.048801682685603,20,20,1
NRF1,HepG2,NRF1_HepG2,0.0481643573282046,5781,5843,1
SP2,HepG2,SP2_HepG2,0.0448783858667009,6487,7033,1
MAZ,MCF-7,MAZ_MCF-7,0.0444372433583131,21496,3974,1
E2F1,HepG2,E2F1_HepG2,0.0424596742571243,409,470,1
SP1,HepG2,SP1_HepG2,0.0401004067693098,6784,8227,1
FOXK2,MCF-7,FOXK2_MCF-7,0.0371024957919466,90,20,1
